country,year,reporting_level,welfare_type,headcount_ratio_international_povline,headcount_international_povline,avg_shortfall_international_povline,total_shortfall_international_povline,income_gap_ratio_international_povline,poverty_gap_index_international_povline,mean,median,decile1_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,gini,mld,polarization,palma_ratio,s80_s20_ratio
Albania,2016,national,income,6.681603985,192170,0.701224015,134754.219,36.90652713,2.465952106,8.242950169,6.742325745,1.515199693,22.64086893,1.838176457,3.483360588,4.792178779,6.081395376,7.358065191,8.86265051,10.57394615,12.9129115,16.63036676,27.46694868,0.385656427,0.273739844,0.350360082,1.696002475,8.286574927
Albania,2016,national,income,5.79510178,166673,0.820590803,136770.3308,38.16701407,2.211817574,9.951970602,8.140219973,1.829347806,27.33502658,1.838176457,3.483360588,4.792178779,6.081395376,7.358065191,8.86265051,10.57394615,12.9129115,16.63036676,27.46694868,0.385656427,0.273739844,0.350360082,1.696002475,8.286574927
Albania,2017,national,income,6.07382075,174529,0.639209056,111560.5174,33.6425819,2.043394482,8.623163821,7.21003957,1.636343562,22.81116851,1.89761391,3.643011514,5.01089473,6.329183888,7.649153453,9.073750583,10.64866118,12.90211634,16.39225114,26.45336327,0.370951267,0.25417493,0.332536624,1.567077013,7.73299242
Armenia,1996,national,income,14.21614258,450398,0.480188685,216276.0233,25.27308868,3.592860894,5.925693198,4.08505511,1.36051642,20.8711882,2.295961627,3.23570646,4.186151152,5.187289371,6.290591857,7.575120496,9.185150153,11.44472125,15.37779429,35.22151334,0.44418623,0.33547873,0.382661919,2.363049761,9.14720602
Australia,1981,national,income,0.993503051,148300,0.928378266,137678.4968,48.86201398,0.485444944,34.31292223,28.92855393,9.558345733,79.95472322,2.785640252,4.890480304,5.984397767,6.915759656,7.836092623,9.063189918,10.64982328,12.7231233,15.84985666,23.30163624,0.31325787,0.187101838,0.28157758,1.13245147,5.100427047
Australia,1985,national,income,1.001309756,157786,1.091388465,172205.8204,57.44149818,0.575165899,35.45543261,29.27412605,9.617046383,86.12002849,2.71243239,4.759570197,5.874662805,6.728570964,7.684706556,8.939909707,10.3996336,12.65131728,15.95953984,24.28965666,0.324976853,0.201839939,0.294280717,1.209931292,5.386667902
Australia,1989,national,income,0.744274977,125145,1.14984312,143897.1173,60.51805895,0.450419431,36.438423,30.15557606,9.623153517,89.88212839,2.640935783,4.630188979,5.717468117,6.651999299,7.653893007,8.969882104,10.54725729,12.62299694,15.89852382,24.66685465,0.331538347,0.211510637,0.296600152,1.255911962,5.57896884
Australia,1995,national,income,0.749782267,135501,1.561570276,211594.334,82.18790927,0.616231955,33.55279588,27.76139306,9.57242604,82.5455852,2.852944378,4.71883589,5.777800043,6.699083228,7.70920061,8.951705939,10.43702423,12.47926826,15.77243642,24.601701,0.325819904,0.198116985,0.288204548,1.2270993,5.332185561
Australia,2001,national,income,0.747411616,145095,1.563926299,226917.8864,82.31191047,0.615208708,38.6570663,31.48359795,10.62968916,96.89637235,2.749740261,4.637031416,5.615486619,6.517635969,7.553913665,8.897750215,10.45548789,12.6802741,15.82704979,25.06563007,0.334647977,0.207778437,0.304972992,1.284106857,5.535933917
Australia,2003,national,income,0.997330711,198423,1.437783795,285289.374,75.67283134,0.754708637,39.86590739,32.55819032,10.84031185,99.99521581,2.719193556,4.649112081,5.601597884,6.530233599,7.595551078,8.863045768,10.48994333,12.64573634,15.82269666,25.0828897,0.335005161,0.22106999,0.301856942,1.286292991,5.551559391
Australia,2004,national,income,0.499275906,100491,1.695195624,170351.9034,89.22082231,0.445456922,43.38959073,35.64815878,13.04662386,109.8451604,3.00685571,4.707406699,5.651118893,6.556780922,7.604734039,8.820040063,10.35549191,12.41702015,15.56453489,25.31601672,0.330574095,0.207806586,0.289846954,1.27074644,5.299346774
Australia,2008,national,income,0.36123244,76759,1.622078178,124509.0989,85.37253571,0.308393279,54.86082072,43.18356137,15.36345104,150.4040543,2.800441343,4.427291693,5.341404609,6.265398794,7.352358402,8.569975565,10.20973135,12.28475259,15.33307799,27.41556767,0.354285083,0.224777722,0.314299984,1.455600872,5.914530246
Australia,2010,national,income,0.349168412,76928,1.607671763,123674.9734,84.61430333,0.295446759,54.66336604,43.85675782,15.02851909,144.6283043,2.749285339,4.522741873,5.477489931,6.343870291,7.409924504,8.707433758,10.30941859,12.43093335,15.59090776,26.45799459,0.346567276,0.216345492,0.311974306,1.385715064,5.782280667
Australia,2014,national,income,0.498483803,117022,1.422272521,166437.175,74.85644847,0.373145701,58.43655324,46.7861103,16.62201363,157.6821011,2.844454834,4.599094651,5.613503647,6.554100739,7.466581783,8.654972728,10.12446468,11.99564967,15.16370676,26.98347051,0.343994314,0.226975718,0.286314217,1.375924675,5.662241832
Australia,2016,national,income,0.498741779,120650,1.155023118,139353.5392,60.79069042,0.303188169,57.0872045,46.51175195,16.12146449,147.3323262,2.824006646,4.586217787,5.619640833,6.582604724,7.585517057,8.826791292,10.41991002,12.43679635,15.31022296,25.80829233,0.336858105,0.208578642,0.292913139,1.315912394,5.54888933
Australia,2018,national,income,0.497093972,124187,1.537627352,190953.328,80.92775538,0.402285581,57.82607663,47.48055878,15.51785457,153.8947975,2.68353924,4.585877648,5.626742741,6.538756571,7.554367511,8.806004453,10.26664333,12.16587796,15.15879977,26.61339078,0.343337622,0.225616478,0.285310836,1.369359688,5.746291786
